| T     17 | Fr      1280 | Ep      0 | Up      1 | RMe    0.00 | RSd    0.00 | RMa    0.00 | RMi    0.00 | Pl   -0.026 | Vl    0.020 | El 0.0301 | Gr    0.486 | Fps    75 |
| T  49275 | Fr  15872000 | Ep  66128 | Up  12400 | RMe    1.67 | RSd    1.10 | RMa    5.00 | RMi    0.00 | Pl    0.361 | Vl    0.056 | El 0.0305 | Gr    0.150 | Fps   322 |
| T  49679 | Fr  16000000 | Ep  66664 | Up  12500 | RMe    1.91 | RSd    1.22 | RMa    5.00 | RMi    0.00 | Pl   -0.727 | Vl    0.025 | El 0.0304 | Gr    0.258 | Fps   322 |
| T  50074 | Fr  16128000 | Ep  67200 | Up  12600 | RMe    1.81 | RSd    1.20 | RMa    5.00 | RMi    0.00 | Pl    0.502 | Vl    0.052 | El 0.0304 | Gr    0.263 | Fps   322 |
| T  50478 | Fr  16256000 | Ep  67728 | Up  12700 | RMe    1.76 | RSd    1.04 | RMa    4.00 | RMi    0.00 | Pl   -0.052 | Vl    0.028 | El 0.0305 | Gr    0.101 | Fps   322 |
| T  50883 | Fr  16384000 | Ep  68264 | Up  12800 | RMe    1.87 | RSd    1.15 | RMa    5.00 | RMi    0.00 | Pl   -0.398 | Vl    0.055 | El 0.0303 | Gr    0.242 | Fps   321 |
| T  51277 | Fr  16512000 | Ep  68800 | Up  12900 | RMe    1.76 | RSd    1.34 | RMa    7.00 | RMi    0.00 | Pl   -0.548 | Vl    0.028 | El 0.0305 | Gr    0.211 | Fps   322 |
| T  51668 | Fr  16640000 | Ep  69328 | Up  13000 | RMe    1.84 | RSd    1.15 | RMa    5.00 | RMi    0.00 | Pl    0.566 | Vl    0.059 | El 0.0304 | Gr    0.206 | Fps   322 |
| T  52062 | Fr  16768000 | Ep  69864 | Up  13100 | RMe    2.16 | RSd    1.28 | RMa    6.00 | RMi    0.00 | Pl   -0.636 | Vl    0.060 | El 0.0304 | Gr    0.333 | Fps   322 |
| T  52459 | Fr  16896000 | Ep  70400 | Up  13200 | RMe    1.83 | RSd    1.07 | RMa    5.00 | RMi    0.00 | Pl   -0.097 | Vl    0.048 | El 0.0304 | Gr    0.145 | Fps   322 |
| T  52859 | Fr  17024000 | Ep  70928 | Up  13300 | RMe    1.83 | RSd    1.11 | RMa    5.00 | RMi    0.00 | Pl    0.151 | Vl    0.054 | El 0.0303 | Gr    0.131 | Fps   322 |
| T  53266 | Fr  17152000 | Ep  71464 | Up  13400 | RMe    1.52 | RSd    1.13 | RMa    5.00 | RMi    0.00 | Pl    0.082 | Vl    0.026 | El 0.0304 | Gr    0.087 | Fps   322 |
| T  53668 | Fr  17280000 | Ep  72000 | Up  13500 | RMe    1.90 | RSd    1.12 | RMa    5.00 | RMi    0.00 | Pl   -0.628 | Vl    0.039 | El 0.0302 | Gr    0.309 | Fps   321 |
| T  54073 | Fr  17408000 | Ep  72528 | Up  13600 | RMe    1.67 | RSd    1.07 | RMa    5.00 | RMi    0.00 | Pl   -0.076 | Vl    0.044 | El 0.0304 | Gr    0.126 | Fps   321 |
| T  54473 | Fr  17536000 | Ep  73064 | Up  13700 | RMe    1.77 | RSd    1.14 | RMa    5.00 | RMi    0.00 | Pl    0.537 | Vl    0.070 | El 0.0304 | Gr    0.236 | Fps   321 |
| T  54870 | Fr  17664000 | Ep  73600 | Up  13800 | RMe    1.64 | RSd    1.21 | RMa    5.00 | RMi    0.00 | Pl    0.206 | Vl    0.040 | El 0.0305 | Gr    0.170 | Fps   321 |
| T  55266 | Fr  17792000 | Ep  74128 | Up  13900 | RMe    1.98 | RSd    1.17 | RMa    5.00 | RMi    0.00 | Pl    0.214 | Vl    0.048 | El 0.0303 | Gr    0.168 | Fps   321 |
| T  55665 | Fr  17920000 | Ep  74664 | Up  14000 | RMe    1.86 | RSd    1.01 | RMa    4.00 | RMi    0.00 | Pl   -0.177 | Vl    0.037 | El 0.0304 | Gr    0.141 | Fps   321 |
| T  56059 | Fr  18048000 | Ep  75200 | Up  14100 | RMe    1.86 | RSd    1.38 | RMa    6.00 | RMi    0.00 | Pl    0.106 | Vl    0.039 | El 0.0304 | Gr    0.142 | Fps   321 |
| T  56446 | Fr  18176000 | Ep  75728 | Up  14200 | RMe    1.66 | RSd    1.22 | RMa    6.00 | RMi    0.00 | Pl    0.308 | Vl    0.034 | El 0.0304 | Gr    0.206 | Fps   322 |
| T  56853 | Fr  18304000 | Ep  76264 | Up  14300 | RMe    1.99 | RSd    1.29 | RMa    7.00 | RMi    0.00 | Pl    0.125 | Vl    0.060 | El 0.0303 | Gr    0.270 | Fps   321 |
| T  57267 | Fr  18432000 | Ep  76800 | Up  14400 | RMe    1.80 | RSd    1.13 | RMa    5.00 | RMi    0.00 | Pl   -0.356 | Vl    0.036 | El 0.0304 | Gr    0.171 | Fps   321 |
| T  57667 | Fr  18560000 | Ep  77328 | Up  14500 | RMe    1.88 | RSd    1.12 | RMa    5.00 | RMi    0.00 | Pl    0.785 | Vl    0.072 | El 0.0301 | Gr    0.452 | Fps   321 |
| T  58067 | Fr  18688000 | Ep  77864 | Up  14600 | RMe    1.94 | RSd    1.12 | RMa    5.00 | RMi    0.00 | Pl    0.207 | Vl    0.063 | El 0.0302 | Gr    0.229 | Fps   321 |
| T  58471 | Fr  18816000 | Ep  78400 | Up  14700 | RMe    2.01 | RSd    1.24 | RMa    6.00 | RMi    0.00 | Pl    0.073 | Vl    0.052 | El 0.0302 | Gr    0.182 | Fps   321 |
| T  58852 | Fr  18944000 | Ep  78928 | Up  14800 | RMe    1.76 | RSd    1.06 | RMa    5.00 | RMi    0.00 | Pl    0.026 | Vl    0.038 | El 0.0304 | Gr    0.136 | Fps   321 |
| T  59249 | Fr  19072000 | Ep  79464 | Up  14900 | RMe    1.75 | RSd    1.11 | RMa    5.00 | RMi    0.00 | Pl   -0.047 | Vl    0.045 | El 0.0304 | Gr    0.123 | Fps   321 |
| T  59648 | Fr  19200000 | Ep  80000 | Up  15000 | RMe    1.96 | RSd    1.06 | RMa    5.00 | RMi    0.00 | Pl    0.034 | Vl    0.048 | El 0.0304 | Gr    0.106 | Fps   321 |
| T  60031 | Fr  19328000 | Ep  80528 | Up  15100 | RMe    1.65 | RSd    1.37 | RMa    7.00 | RMi    0.00 | Pl    0.218 | Vl    0.069 | El 0.0303 | Gr    0.147 | Fps   321 |
| T  60432 | Fr  19456000 | Ep  81064 | Up  15200 | RMe    1.77 | RSd    0.99 | RMa    4.00 | RMi    0.00 | Pl    0.258 | Vl    0.058 | El 0.0304 | Gr    0.180 | Fps   321 |
| T  60816 | Fr  19584000 | Ep  81600 | Up  15300 | RMe    1.87 | RSd    1.06 | RMa    4.00 | RMi    0.00 | Pl    0.105 | Vl    0.053 | El 0.0303 | Gr    0.111 | Fps   322 |
| T  61208 | Fr  19712000 | Ep  82128 | Up  15400 | RMe    2.23 | RSd    1.21 | RMa    5.00 | RMi    0.00 | Pl   -0.032 | Vl    0.042 | El 0.0302 | Gr    0.145 | Fps   322 |
| T  61601 | Fr  19840000 | Ep  82664 | Up  15500 | RMe    1.92 | RSd    1.06 | RMa    5.00 | RMi    0.00 | Pl    0.434 | Vl    0.062 | El 0.0302 | Gr    0.178 | Fps   322 |
| T  62010 | Fr  19968000 | Ep  83200 | Up  15600 | RMe    1.77 | RSd    0.99 | RMa    5.00 | RMi    0.00 | Pl   -0.618 | Vl    0.054 | El 0.0303 | Gr    0.280 | Fps   322 |
| T  62414 | Fr  20096000 | Ep  83728 | Up  15700 | RMe    1.89 | RSd    1.04 | RMa    5.00 | RMi    0.00 | Pl    0.483 | Vl    0.072 | El 0.0300 | Gr    0.362 | Fps   321 |
| T  62821 | Fr  20224000 | Ep  84264 | Up  15800 | RMe    1.99 | RSd    1.14 | RMa    5.00 | RMi    0.00 | Pl   -0.720 | Vl    0.036 | El 0.0301 | Gr    0.376 | Fps   321 |
| T  63235 | Fr  20352000 | Ep  84800 | Up  15900 | RMe    2.06 | RSd    1.26 | RMa    7.00 | RMi    0.00 | Pl   -0.480 | Vl    0.045 | El 0.0303 | Gr    0.224 | Fps   321 |
| T  63643 | Fr  20480000 | Ep  85328 | Up  16000 | RMe    1.90 | RSd    1.12 | RMa    5.00 | RMi    0.00 | Pl    0.496 | Vl    0.053 | El 0.0303 | Gr    0.206 | Fps   321 |
| T  64045 | Fr  20608000 | Ep  85864 | Up  16100 | RMe    2.21 | RSd    1.17 | RMa    6.00 | RMi    0.00 | Pl    0.471 | Vl    0.064 | El 0.0301 | Gr    0.275 | Fps   321 |
| T  64442 | Fr  20736000 | Ep  86400 | Up  16200 | RMe    2.06 | RSd    1.20 | RMa    7.00 | RMi    0.00 | Pl   -0.160 | Vl    0.041 | El 0.0303 | Gr    0.229 | Fps   321 |
| T  64849 | Fr  20864000 | Ep  86928 | Up  16300 | RMe    2.03 | RSd    1.16 | RMa    7.00 | RMi    0.00 | Pl   -0.203 | Vl    0.037 | El 0.0300 | Gr    0.196 | Fps   321 |
| T  65257 | Fr  20992000 | Ep  87464 | Up  16400 | RMe    2.26 | RSd    1.25 | RMa    5.00 | RMi    0.00 | Pl   -0.844 | Vl    0.039 | El 0.0299 | Gr    0.426 | Fps   321 |
| T  65653 | Fr  21120000 | Ep  88000 | Up  16500 | RMe    2.20 | RSd    1.14 | RMa    5.00 | RMi    0.00 | Pl    0.043 | Vl    0.041 | El 0.0303 | Gr    0.156 | Fps   321 |
| T  66057 | Fr  21248000 | Ep  88528 | Up  16600 | RMe    2.06 | RSd    1.17 | RMa    5.00 | RMi    0.00 | Pl    0.187 | Vl    0.047 | El 0.0302 | Gr    0.143 | Fps   321 |
| T  66450 | Fr  21376000 | Ep  89064 | Up  16700 | RMe    1.97 | RSd    1.09 | RMa    5.00 | RMi    0.00 | Pl    0.579 | Vl    0.067 | El 0.0302 | Gr    0.248 | Fps   321 |
| T  66857 | Fr  21504000 | Ep  89600 | Up  16800 | RMe    2.08 | RSd    1.17 | RMa    5.00 | RMi    0.00 | Pl   -0.386 | Vl    0.048 | El 0.0304 | Gr    0.167 | Fps   321 |
| T  67264 | Fr   1408000 | Ep  90128 | Up   1100 | RMe    1.41 | RSd    1.04 | RMa    4.00 | RMi    0.00 | Pl   -0.134 | Vl    0.034 | El 0.0302 | Gr    0.295 | Fps    20 |
| T  67668 | Fr   1536000 | Ep  90664 | Up   1200 | RMe    1.57 | RSd    1.14 | RMa    5.00 | RMi    0.00 | Pl   -0.464 | Vl    0.050 | El 0.0301 | Gr    0.454 | Fps    22 |
| T  68067 | Fr   1664000 | Ep  91200 | Up   1300 | RMe    1.28 | RSd    1.00 | RMa    4.00 | RMi    0.00 | Pl   -0.039 | Vl    0.050 | El 0.0304 | Gr    0.086 | Fps    24 |
| T  68492 | Fr   1792000 | Ep  91728 | Up   1400 | RMe    1.26 | RSd    1.04 | RMa    4.00 | RMi    0.00 | Pl   -0.232 | Vl    0.024 | El 0.0305 | Gr    0.209 | Fps    26 |
| T  68903 | Fr   1920000 | Ep  92264 | Up   1500 | RMe    1.32 | RSd    0.98 | RMa    4.00 | RMi    0.00 | Pl   -0.188 | Vl    0.033 | El 0.0305 | Gr    0.165 | Fps    27 |
| T  69320 | Fr   2048000 | Ep  92800 | Up   1600 | RMe    1.32 | RSd    1.05 | RMa    4.00 | RMi    0.00 | Pl    0.008 | Vl    0.032 | El 0.0305 | Gr    0.081 | Fps    29 |
| T  69744 | Fr   2176000 | Ep  93328 | Up   1700 | RMe    1.17 | RSd    1.03 | RMa    4.00 | RMi    0.00 | Pl    0.102 | Vl    0.048 | El 0.0304 | Gr    0.152 | Fps    31 |
| T  70144 | Fr   2304000 | Ep  93864 | Up   1800 | RMe    1.47 | RSd    1.06 | RMa    5.00 | RMi    0.00 | Pl    0.043 | Vl    0.035 | El 0.0305 | Gr    0.136 | Fps    32 |
| T  70573 | Fr   2432000 | Ep  94400 | Up   1900 | RMe    1.26 | RSd    0.91 | RMa    4.00 | RMi    0.00 | Pl   -0.085 | Vl    0.038 | El 0.0304 | Gr    0.125 | Fps    34 |
| T  70981 | Fr   2560000 | Ep  94928 | Up   2000 | RMe    1.17 | RSd    1.03 | RMa    5.00 | RMi    0.00 | Pl   -0.134 | Vl    0.022 | El 0.0303 | Gr    0.102 | Fps    36 |
| T  71376 | Fr   2688000 | Ep  95464 | Up   2100 | RMe    1.66 | RSd    1.20 | RMa    5.00 | RMi    0.00 | Pl   -0.404 | Vl    0.018 | El 0.0304 | Gr    0.305 | Fps    37 |
| T  71800 | Fr   2816000 | Ep  96000 | Up   2200 | RMe    1.54 | RSd    1.11 | RMa    4.00 | RMi    0.00 | Pl   -0.181 | Vl    0.032 | El 0.0303 | Gr    0.154 | Fps    39 |
| T  72207 | Fr   2944000 | Ep  96528 | Up   2300 | RMe    1.35 | RSd    1.00 | RMa    4.00 | RMi    0.00 | Pl    0.497 | Vl    0.052 | El 0.0303 | Gr    0.508 | Fps    40 |
| T  72613 | Fr   3072000 | Ep  97064 | Up   2400 | RMe    1.51 | RSd    1.08 | RMa    5.00 | RMi    0.00 | Pl   -0.458 | Vl    0.033 | El 0.0304 | Gr    0.363 | Fps    42 |
| T  73022 | Fr   3200000 | Ep  97600 | Up   2500 | RMe    1.43 | RSd    1.08 | RMa    4.00 | RMi    0.00 | Pl    0.182 | Vl    0.048 | El 0.0304 | Gr    0.152 | Fps    43 |
| T  73427 | Fr   3328000 | Ep  98128 | Up   2600 | RMe    1.58 | RSd    1.19 | RMa    5.00 | RMi    0.00 | Pl    0.590 | Vl    0.055 | El 0.0303 | Gr    0.386 | Fps    45 |
| T  73846 | Fr   3456000 | Ep  98664 | Up   2700 | RMe    1.43 | RSd    1.14 | RMa    5.00 | RMi    0.00 | Pl   -0.151 | Vl    0.049 | El 0.0304 | Gr    0.131 | Fps    46 |
| T  74272 | Fr   3584000 | Ep  99200 | Up   2800 | RMe    1.43 | RSd    1.08 | RMa    5.00 | RMi    0.00 | Pl    0.418 | Vl    0.059 | El 0.0306 | Gr    0.218 | Fps    48 |
| T  74706 | Fr   3712000 | Ep  99728 | Up   2900 | RMe    1.60 | RSd    1.16 | RMa    5.00 | RMi    0.00 | Pl   -0.375 | Vl    0.026 | El 0.0304 | Gr    0.329 | Fps    49 |
| T  75128 | Fr   3840000 | Ep 100264 | Up   3000 | RMe    1.32 | RSd    1.13 | RMa    4.00 | RMi    0.00 | Pl    0.332 | Vl    0.058 | El 0.0302 | Gr    0.334 | Fps    51 |
| T  75541 | Fr   3968000 | Ep 100800 | Up   3100 | RMe    1.54 | RSd    0.89 | RMa    3.00 | RMi    0.00 | Pl   -0.259 | Vl    0.040 | El 0.0305 | Gr    0.247 | Fps    52 |
| T  75975 | Fr   4096000 | Ep 101328 | Up   3200 | RMe    1.45 | RSd    1.19 | RMa    5.00 | RMi    0.00 | Pl   -0.268 | Vl    0.024 | El 0.0305 | Gr    0.233 | Fps    53 |
| T  76398 | Fr   4224000 | Ep 101864 | Up   3300 | RMe    1.59 | RSd    1.11 | RMa    6.00 | RMi    0.00 | Pl   -0.292 | Vl    0.024 | El 0.0305 | Gr    0.169 | Fps    55 |
| T  76810 | Fr   4352000 | Ep 102400 | Up   3400 | RMe    1.57 | RSd    1.06 | RMa    4.00 | RMi    0.00 | Pl    0.440 | Vl    0.049 | El 0.0305 | Gr    0.286 | Fps    56 |
| T  77232 | Fr   4480000 | Ep 102928 | Up   3500 | RMe    1.42 | RSd    1.23 | RMa    5.00 | RMi    0.00 | Pl   -0.249 | Vl    0.024 | El 0.0305 | Gr    0.180 | Fps    58 |
| T  77667 | Fr   4608000 | Ep 103464 | Up   3600 | RMe    1.53 | RSd    1.18 | RMa    5.00 | RMi    0.00 | Pl   -0.184 | Vl    0.031 | El 0.0305 | Gr    0.157 | Fps    59 |
| T  78091 | Fr   4736000 | Ep 104000 | Up   3700 | RMe    1.53 | RSd    1.28 | RMa    5.00 | RMi    0.00 | Pl   -0.437 | Vl    0.029 | El 0.0305 | Gr    0.333 | Fps    60 |
| T  78492 | Fr   4864000 | Ep 104528 | Up   3800 | RMe    1.61 | RSd    1.22 | RMa    6.00 | RMi    0.00 | Pl   -0.089 | Vl    0.029 | El 0.0305 | Gr    0.083 | Fps    61 |
| T  78922 | Fr   4992000 | Ep 105064 | Up   3900 | RMe    1.67 | RSd    1.18 | RMa    6.00 | RMi    0.00 | Pl   -0.227 | Vl    0.035 | El 0.0304 | Gr    0.149 | Fps    63 |
| T  79349 | Fr   5120000 | Ep 105600 | Up   4000 | RMe    1.48 | RSd    1.11 | RMa    7.00 | RMi    0.00 | Pl   -0.071 | Vl    0.030 | El 0.0306 | Gr    0.123 | Fps    64 |
| T  79772 | Fr   5248000 | Ep 106128 | Up   4100 | RMe    1.46 | RSd    1.14 | RMa    5.00 | RMi    0.00 | Pl    0.011 | Vl    0.036 | El 0.0304 | Gr    0.076 | Fps    65 |
| T  80178 | Fr   5376000 | Ep 106664 | Up   4200 | RMe    1.36 | RSd    1.03 | RMa    4.00 | RMi    0.00 | Pl    0.314 | Vl    0.044 | El 0.0305 | Gr    0.213 | Fps    67 |
| T  80617 | Fr   5504000 | Ep 107200 | Up   4300 | RMe    1.54 | RSd    1.01 | RMa    5.00 | RMi    0.00 | Pl    0.158 | Vl    0.031 | El 0.0306 | Gr    0.200 | Fps    68 |
| T  81038 | Fr   5632000 | Ep 107728 | Up   4400 | RMe    1.46 | RSd    1.00 | RMa    4.00 | RMi    0.00 | Pl    0.675 | Vl    0.056 | El 0.0304 | Gr    0.484 | Fps    69 |
| T  81452 | Fr   5760000 | Ep 108264 | Up   4500 | RMe    1.35 | RSd    1.06 | RMa    5.00 | RMi    0.00 | Pl   -0.050 | Vl    0.021 | El 0.0305 | Gr    0.086 | Fps    70 |
| T  81848 | Fr   5888000 | Ep 108800 | Up   4600 | RMe    1.68 | RSd    1.10 | RMa    5.00 | RMi    0.00 | Pl   -0.004 | Vl    0.045 | El 0.0304 | Gr    0.168 | Fps    71 |
| T  82253 | Fr   6016000 | Ep 109328 | Up   4700 | RMe    1.50 | RSd    1.05 | RMa    4.00 | RMi    0.00 | Pl    0.062 | Vl    0.038 | El 0.0304 | Gr    0.133 | Fps    73 |
| T  82670 | Fr   6144000 | Ep 109864 | Up   4800 | RMe    1.58 | RSd    0.87 | RMa    4.00 | RMi    0.00 | Pl    0.314 | Vl    0.060 | El 0.0305 | Gr    0.276 | Fps    74 |
| T  83077 | Fr   6272000 | Ep 110400 | Up   4900 | RMe    1.59 | RSd    1.11 | RMa    5.00 | RMi    0.00 | Pl    0.048 | Vl    0.042 | El 0.0303 | Gr    0.124 | Fps    75 |
| T  83505 | Fr   6400000 | Ep 110928 | Up   5000 | RMe    1.67 | RSd    1.15 | RMa    6.00 | RMi    0.00 | Pl    0.387 | Vl    0.046 | El 0.0305 | Gr    0.267 | Fps    76 |
| T  83910 | Fr   6528000 | Ep 111464 | Up   5100 | RMe    1.65 | RSd    1.18 | RMa    5.00 | RMi    0.00 | Pl   -0.141 | Vl    0.034 | El 0.0304 | Gr    0.126 | Fps    77 |
| T  84315 | Fr   6656000 | Ep 112000 | Up   5200 | RMe    1.65 | RSd    0.90 | RMa    3.00 | RMi    0.00 | Pl   -0.373 | Vl    0.040 | El 0.0304 | Gr    0.331 | Fps    78 |
| T  84731 | Fr   6784000 | Ep 112528 | Up   5300 | RMe    1.65 | RSd    1.22 | RMa    6.00 | RMi    0.00 | Pl   -0.171 | Vl    0.028 | El 0.0306 | Gr    0.163 | Fps    80 |
| T  85140 | Fr   6912000 | Ep 113064 | Up   5400 | RMe    1.90 | RSd    1.18 | RMa    4.00 | RMi    0.00 | Pl   -1.089 | Vl    0.066 | El 0.0304 | Gr    0.846 | Fps    81 |
| T  85546 | Fr   7040000 | Ep 113600 | Up   5500 | RMe    1.56 | RSd    1.13 | RMa    4.00 | RMi    0.00 | Pl    0.629 | Vl    0.115 | El 0.0305 | Gr    0.267 | Fps    82 |
| T  85979 | Fr   7168000 | Ep 114128 | Up   5600 | RMe    1.76 | RSd    1.15 | RMa    4.00 | RMi    0.00 | Pl    0.437 | Vl    0.062 | El 0.0304 | Gr    0.360 | Fps    83 |
| T  86396 | Fr   7296000 | Ep 114664 | Up   5700 | RMe    1.65 | RSd    1.07 | RMa    5.00 | RMi    0.00 | Pl   -0.017 | Vl    0.087 | El 0.0303 | Gr    0.251 | Fps    84 |
| T  86820 | Fr   7424000 | Ep 115200 | Up   5800 | RMe    1.71 | RSd    1.16 | RMa    5.00 | RMi    0.00 | Pl   -0.055 | Vl    0.041 | El 0.0305 | Gr    0.116 | Fps    85 |
| T  87260 | Fr   7552000 | Ep 115728 | Up   5900 | RMe    1.57 | RSd    0.96 | RMa    4.00 | RMi    0.00 | Pl    0.905 | Vl    0.057 | El 0.0305 | Gr    0.595 | Fps    86 |
| T  87688 | Fr   7680000 | Ep 116264 | Up   6000 | RMe    1.58 | RSd    1.14 | RMa    5.00 | RMi    0.00 | Pl   -0.200 | Vl    0.027 | El 0.0304 | Gr    0.175 | Fps    87 |
| T  88102 | Fr   7808000 | Ep 116800 | Up   6100 | RMe    1.56 | RSd    1.04 | RMa    5.00 | RMi    0.00 | Pl    0.108 | Vl    0.033 | El 0.0304 | Gr    0.122 | Fps    88 |
| T  88503 | Fr   7936000 | Ep 117328 | Up   6200 | RMe    1.90 | RSd    1.27 | RMa    5.00 | RMi    0.00 | Pl   -0.309 | Vl    0.037 | El 0.0304 | Gr    0.380 | Fps    89 |
| T  88931 | Fr   8064000 | Ep 117864 | Up   6300 | RMe    1.71 | RSd    1.07 | RMa    5.00 | RMi    0.00 | Pl    0.347 | Vl    0.065 | El 0.0304 | Gr    0.234 | Fps    90 |
| T  89335 | Fr   8192000 | Ep 118400 | Up   6400 | RMe    1.53 | RSd    1.14 | RMa    5.00 | RMi    0.00 | Pl   -0.829 | Vl    0.023 | El 0.0305 | Gr    0.384 | Fps    91 |
| T  89740 | Fr   8320000 | Ep 118928 | Up   6500 | RMe    1.82 | RSd    1.31 | RMa    6.00 | RMi    0.00 | Pl    0.104 | Vl    0.043 | El 0.0303 | Gr    0.218 | Fps    92 |
| T  90155 | Fr   8448000 | Ep 119464 | Up   6600 | RMe    1.76 | RSd    1.08 | RMa    4.00 | RMi    0.00 | Pl    0.372 | Vl    0.074 | El 0.0304 | Gr    0.266 | Fps    93 |
| T  90573 | Fr   8576000 | Ep 120000 | Up   6700 | RMe    1.70 | RSd    1.29 | RMa    5.00 | RMi    0.00 | Pl    0.187 | Vl    0.078 | El 0.0304 | Gr    0.322 | Fps    94 |
| T  90982 | Fr   8704000 | Ep 120528 | Up   6800 | RMe    1.60 | RSd    1.09 | RMa    4.00 | RMi    0.00 | Pl    0.120 | Vl    0.034 | El 0.0305 | Gr    0.108 | Fps    95 |
| T  91388 | Fr   8832000 | Ep 121064 | Up   6900 | RMe    1.73 | RSd    1.26 | RMa    5.00 | RMi    0.00 | Pl   -0.581 | Vl    0.024 | El 0.0305 | Gr    0.251 | Fps    96 |
| T  91808 | Fr   8960000 | Ep 121600 | Up   7000 | RMe    1.77 | RSd    1.10 | RMa    5.00 | RMi    0.00 | Pl   -0.081 | Vl    0.034 | El 0.0304 | Gr    0.096 | Fps    97 |
| T  92205 | Fr   9088000 | Ep 122128 | Up   7100 | RMe    1.59 | RSd    1.03 | RMa    4.00 | RMi    0.00 | Pl    1.048 | Vl    0.141 | El 0.0304 | Gr    0.768 | Fps    98 |
| T  92614 | Fr   9216000 | Ep 122664 | Up   7200 | RMe    1.62 | RSd    1.07 | RMa    4.00 | RMi    0.00 | Pl   -0.481 | Vl    0.043 | El 0.0304 | Gr    0.294 | Fps    99 |
| T  93023 | Fr   9344000 | Ep 123200 | Up   7300 | RMe    1.51 | RSd    0.99 | RMa    5.00 | RMi    0.00 | Pl    0.136 | Vl    0.042 | El 0.0303 | Gr    0.153 | Fps   100 |
| T  93443 | Fr   9472000 | Ep 123728 | Up   7400 | RMe    1.70 | RSd    1.01 | RMa    4.00 | RMi    0.00 | Pl    0.467 | Vl    0.074 | El 0.0304 | Gr    0.334 | Fps   101 |
| T  93877 | Fr   9600000 | Ep 124264 | Up   7500 | RMe    1.71 | RSd    1.00 | RMa    5.00 | RMi    0.00 | Pl    0.114 | Vl    0.050 | El 0.0305 | Gr    0.132 | Fps   102 |
| T  94283 | Fr   9728000 | Ep 124800 | Up   7600 | RMe    2.14 | RSd    1.50 | RMa    6.00 | RMi    0.00 | Pl   -0.635 | Vl    0.054 | El 0.0303 | Gr    0.376 | Fps   103 |
| T  94700 | Fr   9856000 | Ep 125328 | Up   7700 | RMe    1.46 | RSd    1.05 | RMa    7.00 | RMi    0.00 | Pl   -0.302 | Vl    0.037 | El 0.0305 | Gr    0.285 | Fps   104 |
| T  95132 | Fr   9984000 | Ep 125864 | Up   7800 | RMe    1.84 | RSd    1.16 | RMa    5.00 | RMi    0.00 | Pl    0.451 | Vl    0.064 | El 0.0303 | Gr    0.554 | Fps   104 |
| T  95560 | Fr  10112000 | Ep 126400 | Up   7900 | RMe    1.96 | RSd    1.19 | RMa    5.00 | RMi    0.00 | Pl    0.629 | Vl    0.059 | El 0.0304 | Gr    0.382 | Fps   105 |
| T  95960 | Fr  10240000 | Ep 126928 | Up   8000 | RMe    1.47 | RSd    0.98 | RMa    4.00 | RMi    0.00 | Pl    0.192 | Vl    0.062 | El 0.0304 | Gr    0.262 | Fps   106 |
| T  96379 | Fr  10368000 | Ep 127464 | Up   8100 | RMe    1.55 | RSd    1.10 | RMa    5.00 | RMi    0.00 | Pl   -0.228 | Vl    0.034 | El 0.0305 | Gr    0.109 | Fps   107 |
| T  96810 | Fr  10496000 | Ep 128000 | Up   8200 | RMe    1.73 | RSd    1.37 | RMa    6.00 | RMi    0.00 | Pl    0.066 | Vl    0.091 | El 0.0305 | Gr    0.165 | Fps   108 |
| T  97239 | Fr  10624000 | Ep 128528 | Up   8300 | RMe    1.48 | RSd    1.03 | RMa    5.00 | RMi    0.00 | Pl   -0.144 | Vl    0.040 | El 0.0305 | Gr    0.173 | Fps   109 |
| T  97678 | Fr  10752000 | Ep 129064 | Up   8400 | RMe    1.94 | RSd    1.29 | RMa    6.00 | RMi    0.00 | Pl   -0.872 | Vl    0.035 | El 0.0305 | Gr    0.461 | Fps   110 |
| T  98103 | Fr  10880000 | Ep 129600 | Up   8500 | RMe    1.81 | RSd    1.21 | RMa    5.00 | RMi    0.00 | Pl   -0.282 | Vl    0.038 | El 0.0304 | Gr    0.180 | Fps   110 |
| T  98527 | Fr  11008000 | Ep 130128 | Up   8600 | RMe    1.80 | RSd    1.18 | RMa    5.00 | RMi    0.00 | Pl    0.153 | Vl    0.049 | El 0.0304 | Gr    0.123 | Fps   111 |
| T  98955 | Fr  11136000 | Ep 130664 | Up   8700 | RMe    1.57 | RSd    1.08 | RMa    4.00 | RMi    0.00 | Pl   -0.555 | Vl    0.021 | El 0.0305 | Gr    0.206 | Fps   112 |
| T  99381 | Fr  11264000 | Ep 131200 | Up   8800 | RMe    1.70 | RSd    1.09 | RMa    4.00 | RMi    0.00 | Pl   -0.006 | Vl    0.050 | El 0.0304 | Gr    0.116 | Fps   113 |
| T  99776 | Fr  11392000 | Ep 131728 | Up   8900 | RMe    1.81 | RSd    1.30 | RMa    5.00 | RMi    0.00 | Pl   -0.244 | Vl    0.043 | El 0.0304 | Gr    0.223 | Fps   114 |
| T 100184 | Fr  11520000 | Ep 132264 | Up   9000 | RMe    1.90 | RSd    1.23 | RMa    5.00 | RMi    0.00 | Pl   -0.112 | Vl    0.058 | El 0.0303 | Gr    0.170 | Fps   114 |
