| T     17 | Fr      1280 | Ep      0 | Up      1 | RMe    0.00 | RSd    0.00 | RMa    0.00 | RMi    0.00 | Pl   -0.026 | Vl    0.020 | El 0.0301 | Gr    0.486 | Fps    75 |
| T  11456 | Fr   3712000 | Ep  15464 | Up   2900 | RMe    1.06 | RSd    0.96 | RMa    4.00 | RMi    0.00 | Pl   -0.032 | Vl    0.042 | El 0.0302 | Gr    0.060 | Fps   324 |
| T  11853 | Fr   3840000 | Ep  16000 | Up   3000 | RMe    1.17 | RSd    1.03 | RMa    6.00 | RMi    0.00 | Pl   -0.296 | Vl    0.034 | El 0.0303 | Gr    0.208 | Fps   323 |
| T  12242 | Fr   3968000 | Ep  16528 | Up   3100 | RMe    0.97 | RSd    0.93 | RMa    4.00 | RMi    0.00 | Pl    0.272 | Vl    0.044 | El 0.0302 | Gr    0.152 | Fps   324 |
| T  12631 | Fr   4096000 | Ep  17064 | Up   3200 | RMe    1.16 | RSd    1.04 | RMa    4.00 | RMi    0.00 | Pl   -0.314 | Vl    0.025 | El 0.0303 | Gr    0.145 | Fps   324 |
| T  13026 | Fr   4224000 | Ep  17600 | Up   3300 | RMe    1.21 | RSd    0.98 | RMa    5.00 | RMi    0.00 | Pl    0.043 | Vl    0.051 | El 0.0302 | Gr    0.077 | Fps   324 |
| T  13423 | Fr   4352000 | Ep  18128 | Up   3400 | RMe    1.34 | RSd    1.20 | RMa    5.00 | RMi    0.00 | Pl    0.777 | Vl    0.062 | El 0.0301 | Gr    0.521 | Fps   324 |
| T  13805 | Fr   4480000 | Ep  18664 | Up   3500 | RMe    1.20 | RSd    0.97 | RMa    4.00 | RMi    0.00 | Pl    0.161 | Vl    0.053 | El 0.0301 | Gr    0.133 | Fps   324 |
| T  14197 | Fr   4608000 | Ep  19200 | Up   3600 | RMe    1.01 | RSd    1.04 | RMa    4.00 | RMi    0.00 | Pl    0.395 | Vl    0.062 | El 0.0303 | Gr    0.178 | Fps   324 |
| T  14581 | Fr   4736000 | Ep  19728 | Up   3700 | RMe    1.01 | RSd    0.91 | RMa    3.00 | RMi    0.00 | Pl   -0.028 | Vl    0.021 | El 0.0302 | Gr    0.044 | Fps   324 |
| T  14969 | Fr   4864000 | Ep  20264 | Up   3800 | RMe    1.29 | RSd    1.19 | RMa    6.00 | RMi    0.00 | Pl   -0.684 | Vl    0.024 | El 0.0302 | Gr    0.382 | Fps   324 |
| T  15357 | Fr   4992000 | Ep  20800 | Up   3900 | RMe    1.16 | RSd    1.02 | RMa    4.00 | RMi    0.00 | Pl    0.114 | Vl    0.046 | El 0.0303 | Gr    0.071 | Fps   325 |
| T  15739 | Fr   5120000 | Ep  21328 | Up   4000 | RMe    1.25 | RSd    1.02 | RMa    4.00 | RMi    0.00 | Pl   -0.042 | Vl    0.023 | El 0.0302 | Gr    0.037 | Fps   325 |
| T  16146 | Fr   5248000 | Ep  21864 | Up   4100 | RMe    1.26 | RSd    1.18 | RMa    5.00 | RMi    0.00 | Pl   -0.266 | Vl    0.040 | El 0.0302 | Gr    0.155 | Fps   325 |
| T  16539 | Fr   5376000 | Ep  22400 | Up   4200 | RMe    0.86 | RSd    0.89 | RMa    5.00 | RMi    0.00 | Pl    0.653 | Vl    0.074 | El 0.0304 | Gr    0.224 | Fps   325 |
| T  16925 | Fr   5504000 | Ep  22928 | Up   4300 | RMe    1.11 | RSd    1.00 | RMa    4.00 | RMi    0.00 | Pl    0.104 | Vl    0.029 | El 0.0303 | Gr    0.053 | Fps   325 |
| T  17319 | Fr   5632000 | Ep  23464 | Up   4400 | RMe    1.13 | RSd    1.17 | RMa    5.00 | RMi    0.00 | Pl    0.285 | Vl    0.061 | El 0.0303 | Gr    0.130 | Fps   325 |
| T  17713 | Fr   5760000 | Ep  24000 | Up   4500 | RMe    1.12 | RSd    1.07 | RMa    5.00 | RMi    0.00 | Pl    0.079 | Vl    0.051 | El 0.0302 | Gr    0.178 | Fps   325 |
| T  18096 | Fr   5888000 | Ep  24528 | Up   4600 | RMe    1.13 | RSd    1.11 | RMa    4.00 | RMi    0.00 | Pl   -0.074 | Vl    0.023 | El 0.0301 | Gr    0.077 | Fps   325 |
| T  18494 | Fr   6016000 | Ep  25064 | Up   4700 | RMe    0.98 | RSd    0.89 | RMa    4.00 | RMi    0.00 | Pl   -0.079 | Vl    0.033 | El 0.0303 | Gr    0.115 | Fps   325 |
| T  18883 | Fr   6144000 | Ep  25600 | Up   4800 | RMe    1.11 | RSd    1.08 | RMa    4.00 | RMi    0.00 | Pl   -0.697 | Vl    0.013 | El 0.0303 | Gr    0.254 | Fps   325 |
| T  19271 | Fr   6272000 | Ep  26128 | Up   4900 | RMe    1.10 | RSd    0.94 | RMa    4.00 | RMi    0.00 | Pl   -0.072 | Vl    0.022 | El 0.0303 | Gr    0.064 | Fps   325 |
| T  19658 | Fr   6400000 | Ep  26664 | Up   5000 | RMe    1.13 | RSd    1.14 | RMa    5.00 | RMi    0.00 | Pl   -0.712 | Vl    0.020 | El 0.0302 | Gr    0.408 | Fps   325 |
| T  20055 | Fr   6528000 | Ep  27200 | Up   5100 | RMe    1.09 | RSd    0.90 | RMa    4.00 | RMi    0.00 | Pl   -0.309 | Vl    0.038 | El 0.0300 | Gr    0.253 | Fps   325 |
| T  20444 | Fr   6656000 | Ep  27728 | Up   5200 | RMe    1.28 | RSd    1.07 | RMa    5.00 | RMi    0.00 | Pl    0.374 | Vl    0.054 | El 0.0302 | Gr    0.229 | Fps   325 |
| T  20840 | Fr   6784000 | Ep  28264 | Up   5300 | RMe    1.33 | RSd    1.09 | RMa    5.00 | RMi    0.00 | Pl   -0.581 | Vl    0.029 | El 0.0301 | Gr    0.278 | Fps   325 |
| T  21239 | Fr   6912000 | Ep  28800 | Up   5400 | RMe    1.03 | RSd    0.99 | RMa    4.00 | RMi    0.00 | Pl   -0.221 | Vl    0.021 | El 0.0303 | Gr    0.097 | Fps   325 |
| T  21630 | Fr   7040000 | Ep  29328 | Up   5500 | RMe    1.12 | RSd    1.04 | RMa    4.00 | RMi    0.00 | Pl    0.070 | Vl    0.037 | El 0.0303 | Gr    0.135 | Fps   325 |
| T  22048 | Fr   7168000 | Ep  29864 | Up   5600 | RMe    1.02 | RSd    0.97 | RMa    4.00 | RMi    0.00 | Pl    0.123 | Vl    0.019 | El 0.0300 | Gr    0.137 | Fps   325 |
| T  22435 | Fr   7296000 | Ep  30400 | Up   5700 | RMe    1.29 | RSd    1.00 | RMa    4.00 | RMi    0.00 | Pl   -0.184 | Vl    0.025 | El 0.0304 | Gr    0.104 | Fps   325 |
| T  22851 | Fr   7424000 | Ep  30928 | Up   5800 | RMe    1.22 | RSd    0.94 | RMa    5.00 | RMi    0.00 | Pl    0.459 | Vl    0.045 | El 0.0303 | Gr    0.147 | Fps   324 |
| T  23245 | Fr   7552000 | Ep  31464 | Up   5900 | RMe    1.28 | RSd    1.03 | RMa    5.00 | RMi    0.00 | Pl    0.256 | Vl    0.034 | El 0.0304 | Gr    0.108 | Fps   324 |
| T  23629 | Fr   7680000 | Ep  32000 | Up   6000 | RMe    1.21 | RSd    0.93 | RMa    4.00 | RMi    0.00 | Pl   -0.018 | Vl    0.038 | El 0.0305 | Gr    0.149 | Fps   325 |
| T  24018 | Fr   7808000 | Ep  32528 | Up   6100 | RMe    1.61 | RSd    1.10 | RMa    7.00 | RMi    0.00 | Pl    0.353 | Vl    0.060 | El 0.0302 | Gr    0.216 | Fps   325 |
| T  24419 | Fr   7936000 | Ep  33064 | Up   6200 | RMe    1.38 | RSd    0.99 | RMa    5.00 | RMi    0.00 | Pl   -0.226 | Vl    0.032 | El 0.0302 | Gr    0.120 | Fps   324 |
| T  24812 | Fr   8064000 | Ep  33600 | Up   6300 | RMe    1.39 | RSd    1.13 | RMa    5.00 | RMi    0.00 | Pl    0.125 | Vl    0.040 | El 0.0303 | Gr    0.134 | Fps   325 |
| T  25201 | Fr   8192000 | Ep  34128 | Up   6400 | RMe    1.10 | RSd    0.99 | RMa    5.00 | RMi    0.00 | Pl    0.382 | Vl    0.046 | El 0.0304 | Gr    0.175 | Fps   325 |
| T  25609 | Fr   8320000 | Ep  34664 | Up   6500 | RMe    1.37 | RSd    0.93 | RMa    4.00 | RMi    0.00 | Pl    0.375 | Vl    0.066 | El 0.0304 | Gr    0.237 | Fps   324 |
| T  26009 | Fr   8448000 | Ep  35200 | Up   6600 | RMe    1.23 | RSd    1.03 | RMa    4.00 | RMi    0.00 | Pl   -0.280 | Vl    0.018 | El 0.0306 | Gr    0.107 | Fps   324 |
| T  26402 | Fr   8576000 | Ep  35728 | Up   6700 | RMe    1.42 | RSd    1.00 | RMa    5.00 | RMi    0.00 | Pl   -0.176 | Vl    0.029 | El 0.0305 | Gr    0.155 | Fps   324 |
| T  26812 | Fr   8704000 | Ep  36264 | Up   6800 | RMe    1.30 | RSd    1.02 | RMa    4.00 | RMi    0.00 | Pl   -0.136 | Vl    0.031 | El 0.0306 | Gr    0.085 | Fps   324 |
| T  27222 | Fr   8832000 | Ep  36800 | Up   6900 | RMe    1.44 | RSd    0.88 | RMa    4.00 | RMi    0.00 | Pl    0.070 | Vl    0.049 | El 0.0305 | Gr    0.121 | Fps   324 |
| T  27621 | Fr   8960000 | Ep  37328 | Up   7000 | RMe    1.49 | RSd    1.36 | RMa    6.00 | RMi    0.00 | Pl   -0.795 | Vl    0.023 | El 0.0304 | Gr    0.481 | Fps   324 |
| T  28012 | Fr   9088000 | Ep  37864 | Up   7100 | RMe    1.44 | RSd    1.11 | RMa    4.00 | RMi    0.00 | Pl   -0.678 | Vl    0.032 | El 0.0305 | Gr    0.248 | Fps   324 |
| T  28403 | Fr   9216000 | Ep  38400 | Up   7200 | RMe    1.36 | RSd    0.93 | RMa    4.00 | RMi    0.00 | Pl   -0.331 | Vl    0.026 | El 0.0306 | Gr    0.132 | Fps   324 |
| T  28797 | Fr   9344000 | Ep  38928 | Up   7300 | RMe    1.56 | RSd    1.05 | RMa    5.00 | RMi    0.00 | Pl    0.217 | Vl    0.052 | El 0.0303 | Gr    0.156 | Fps   324 |
| T  29210 | Fr   9472000 | Ep  39464 | Up   7400 | RMe    1.47 | RSd    1.10 | RMa    4.00 | RMi    0.00 | Pl   -0.298 | Vl    0.030 | El 0.0304 | Gr    0.117 | Fps   324 |
| T  29617 | Fr   9600000 | Ep  40000 | Up   7500 | RMe    1.49 | RSd    1.07 | RMa    5.00 | RMi    0.00 | Pl   -0.441 | Vl    0.028 | El 0.0306 | Gr    0.164 | Fps   324 |
| T  30008 | Fr   9728000 | Ep  40528 | Up   7600 | RMe    1.66 | RSd    1.06 | RMa    4.00 | RMi    0.00 | Pl    0.126 | Vl    0.039 | El 0.0304 | Gr    0.144 | Fps   324 |
| T  30415 | Fr   9856000 | Ep  41064 | Up   7700 | RMe    1.57 | RSd    1.14 | RMa    5.00 | RMi    0.00 | Pl   -0.158 | Vl    0.033 | El 0.0304 | Gr    0.152 | Fps   324 |
